moment,network_hash,difficulty
'2010-02-11 12:00:00',0.00002039541348232804,2
'2010-02-12 12:00:00',0.000019543237431534397,2
'2010-02-13 12:00:00',0.00001897512006433863,2
'2010-02-14 12:00:00',0.00001954323743153439,2
'2010-02-15 12:00:00',0.000020892516178624338,3
'2010-02-16 12:00:00',0.000021801503966137566,3
'2010-02-17 12:00:00',0.00002301585483851852,3
'2010-02-18 12:00:00',0.000025721513799788363,3
'2010-02-19 12:00:00',0.00002775253338751323,3
'2010-02-20 12:00:00',0.00002924384147640212,3
'2010-02-21 12:00:00',0.00003038007621079365,3
'2010-02-22 12:00:00',0.00003069964222984127,3
'2010-02-23 12:00:00',0.000032489211936507935,3
'2010-02-24 12:00:00',0.00003366095400634921,3
'2010-02-25 12:00:00',0.00003342660559238095,4
'2010-02-26 12:00:00',0.00003336979385566138,4
'2010-02-27 12:00:00',0.00003416515816973545,4
'2010-02-28 12:00:00',0.000034619652063492064,4
'2010-03-01 12:00:00',0.000034300086044444444,4
'2010-03-02 12:00:00',0.000034300086044444444,4
'2010-03-03 12:00:00',0.00003431428897862434,4
'2010-03-04 12:00:00',0.00003377457747978836,4
'2010-03-05 12:00:00',0.0000346551593989418,4
'2010-03-06 12:00:00',0.00003462675353058201,4
'2010-03-07 12:00:00',0.00003476878287238095,4
'2010-03-08 12:00:00',0.000035422117844656085,4
'2010-03-09 12:00:00',0.000034321390445714286,5
'2010-03-10 12:00:00',0.00003416515816973545,5
'2010-03-11 12:00:00',0.00003559965452190476,5
'2010-03-12 12:00:00',0.00003506704449015873,5
'2010-03-13 12:00:00',0.00003450602859005291,5
'2010-03-14 12:00:00',0.0000349108122141799,5
'2010-03-15 12:00:00',0.000034264578708994716,5
'2010-03-16 12:00:00',0.000034619652063492064,5
'2010-03-17 12:00:00',0.000033909505354497354,5
'2010-03-18 12:00:00',0.00003298631463280424,5
'2010-03-19 12:00:00',0.00003323486598095239,5
'2010-03-20 12:00:00',0.00003437110071534392,5
'2010-03-21 12:00:00',0.0000357558867978836,5
'2010-03-22 11:00:00',0.00003781531225396826,5
'2010-03-23 11:00:00',0.00003937763501375662,5
'2010-03-24 11:00:00',0.000042253729185185185,5
'2010-03-25 11:00:00',0.000043496485925925926,5
'2010-03-26 11:00:00',0.00004516533069206351,5
'2010-03-27 11:00:00',0.00004672765345185186,5
'2010-03-28 11:00:00',0.00004623055075555555,5
'2010-03-29 11:00:00',0.000046337072761904765,5
'2010-03-30 11:00:00',0.00004690519012910053,5
'2010-03-31 11:00:00',0.000047189248812698416,5
'2010-04-01 11:00:00',0.00004853852755978837,5
'2010-04-02 11:00:00',0.0000490569346573545,6
'2010-04-03 11:00:00',0.000048708962769947094,6
'2010-04-04 11:00:00',0.00004924867426878307,6
'2010-04-05 11:00:00',0.00004993041510941799,6
'2010-04-06 11:00:00',0.00004952563148529101,6
'2010-04-07 11:00:00',0.00004866635396740742,6
'2010-04-08 11:00:00',0.000049468819748571434,6
'2010-04-09 11:00:00',0.000050107951786666665,6
'2010-04-10 11:00:00',0.00005151404227047619,6
'2010-04-11 11:00:00',0.000055732313721904765,6
'2010-04-12 11:00:00',0.00005794797145396825,6
'2010-04-13 11:00:00',0.00006296160721947091,8
'2010-04-14 11:00:00',0.00006692422585566139,8
'2010-04-15 11:00:00',0.00006892683957502646,8
'2010-04-16 11:00:00',0.00007340076384169311,8
'2010-04-17 11:00:00',0.00007682367097904764,8
'2010-04-18 11:00:00',0.00007830077613375662,8
'2010-04-19 11:00:00',0.0000827178886637037,8
'2010-04-20 11:00:00',0.00008436542902857144,8
'2010-04-21 11:00:00',0.00008527441681608466,8
'2010-04-22 11:00:00',0.00009215573842624338,11
'2010-04-23 11:00:00',0.0000923048692351323,11
'2010-04-24 11:00:00',0.0000925463191161905,11
'2010-04-25 11:00:00',0.00009311443648338625,11
'2010-04-26 11:00:00',0.000091537910789418,11
'2010-04-27 11:00:00',0.00009116863450074074,11
'2010-04-28 11:00:00',0.00009358313331132276,11
'2010-04-29 11:00:00',0.00009053660392973546,11
'2010-04-30 11:00:00',0.00008959921027386244,11
'2010-05-01 11:00:00',0.00008913051344592594,11
'2010-05-02 11:00:00',0.00009030225551576719,11
'2010-05-03 11:00:00',0.00009006790710179894,11
'2010-05-04 11:00:00',0.00008967732641185187,11
'2010-05-05 11:00:00',0.00008817181538878307,13
'2010-05-06 11:00:00',0.0000867586234378836,13
'2010-05-07 11:00:00',0.00008903109290666668,13
'2010-05-08 11:00:00',0.00008996848656253969,13
'2010-05-09 11:00:00',0.00008989037042455025,13
'2010-05-10 11:00:00',0.00009098399635640212,13
